Articolo;Descrizione lunga;Segn.;Costo Unitario;Proc. Speciale;Produttore;Produttore Modello;Produttore Codice
D7803A002H;"CARAT.MOD117(LISTELLI DA 10)""H""GRAFOPLAS";;,19;;;;
D7803A002K;"CARAT.MOD117(LISTELLI DA 10)""K""GRAFOPLAS";;,28;;;;
D7803A002L;"CARAT.MOD117(LISTELLI DA 10)""L""GRAFOPLAS";;,18;;;;
D7803A002M;"CARAT.MOD117(LISTELLI DA 10)""M""GRAFOPLAS";;,28;;;;
D7803A002N;"CARAT.MOD117(LISTELLI DA 10)""N""GRAFOPLAS";;,18;;;;
D7803A002P;"CARAT.MOD117(LISTELLI DA 10)""P""GRAFOPLAS";;,18;;;;
D7803A002Q;"CARAT.MOD117(LISTELLI DA 10)""Q""GRAFOPLAS";;,19;;;;
D7803A002R;"CARAT.MOD117(LISTELLI DA 10)""R""GRAFOPLAS";;,18;;;;
D7803A002S;"CARAT.MOD117(LISTELLI DA 10)""S""GRAFOPLAS";;,24;;;;
D7803A002T;"CARAT.MOD117(LISTELLI DA 10)""T""GRAFOPLAS";;,18;;;;
D7803A002U;"CARAT.MOD117(LISTELLI DA 10)""U""GRAFOPLAS";;,18;;;;
D7803A002V;"CARAT.MOD117(LISTELLI DA 10)""V""GRAFOPLAS";;,25;;;;
D7803A002W;"CARAT.MOD117(LISTELLI DA 10)""W""GRAFOPLAS";;,18;;;;
D7803A002X;"CARAT.MOD117(LISTELLI DA 10)""X""GRAFOPLAS";;,28;;;;
D7803A002Y;"CARAT.MOD117(LISTELLI DA 10)""Y""GRAFOPLAS";;,21;;;;
D780951310;SEGNAFILI PA02/3 SIGLA  0     2521.0  WD;;4,15;;;;
D780951311;SEGNAFILI PA02/3 SIGLA  1     2521.0  WD;;4,15;;;;
D780951312;SEGNAFILI PA02/3 SIGLA  2     2521.0  WD;;4,15;;;;
D780951313;SEGNAFILI PA02/3 SIGLA  3     2521.0  WD;;4,15;;;;
D780951314;SEGNAFILI PA02/3 SIGLA  4     2521.0  WD;;4,15;;;;
D780951315;SEGNAFILI PA02/3 SIGLA  5     2521.0  WD;;4,15;;;;
D780951316;SEGNAFILI PA02/3 SIGLA  6     2521.0  WD;;4,25;;;;
D780951317;SEGNAFILI PA02/3 SIGLA  7     2521.0  WD;;4,15;;;;
D780951318;SEGNAFILI PA02/3 SIGLA  8     2521.0  WD;;4,15;;;;
D780951319;SEGNAFILI PA02/3 SIGLA  9     2521.0  WD;;4,25;;;;
D78095131A;SEGNAFILI PA02/3 SIGLA  A     2521.0  WD;;4,15;;;;
D78095131B;SEGNAFILI PA02/3 SIGLA  B     2521.0  WD;;4,15;;;;
D78095131C;SEGNAFILI PA02/3 SIGLA  C     2521.0  WD;;4,15;;;;
D78095131E;SEGNAFILI PA02/3 SIGLA  E     2521.0  WD;;4,25;;;;
D78095131L;SEGNAFILI PA02/3 SIGLA  L     2521.0  WD;;4,25;;;;
D78095131N;SEGNAFILI PA02/3 SIGLA  N     2521.0  WD;;4,25;;;;
D78095131P;SEGNAFILI PA02/3 SIGLA  P     2521.0  WD;;4,25;;;;
D78095131R;SEGNAFILI PA02/3 SIGLA  R     2521.0  WD;;2,60;;;;
D78095131S;SEGNAFILI PA02/3 SIGLA  S     2521.0  WD;;2,60;;;;
D78095131T;SEGNAFILI PA02/3 SIGLA  T     2521.0  WD;;2,60;;;;
D78095131U;SEGNAFILI PA02/3 SIGLA  U     2521.0  WD;;4,25;;;;
D78095131V;SEGNAFILI PA02/3 SIGLA  V     2521.0  WD;;4,25;;;;
D78095131W;SEGNAFILI PA02/3 SIGLA  W     2521.0  WD;;4,25;;;;
D780951330;SEGNAFILI PA02/3 SIGLA (+) PA-02003BV29 WD;;4,00;;;;
D780951340;SEGNAFILI PA02/3 SIGLA (-) PA-02003BV69 WD;;4,00;;;;
D780952310;"SEGNAFILI PA  1/3  2526.0  NUMERO ""0"" WD";;4,15;;;;
D780952311;"SEGNAFILI PA 1/3 2526.0 NUMERO ""1"" WD";;,01;;;;
D780952312;"SEGNAFILI PA 1/3 2526.0 NUMERO ""2"" WD";;,01;;;;
D780952313;"SEGNAFILI PA 1/3 2526.0 NUMERO ""3"" WD";;4,25;;;;
D780952314;"SEGNAFILI PA 1/3 2526.0 NUMERO ""4"" WD";;4,20;;;;
D780952315;"SEGNAFILI PA 1/3 2526.0 NUMERO ""5"" WD";;1,72;;;;
D780952316;"SEGNAFILI PA 1/3 2526.0 NUMERO ""6"" WD";;4,25;;;;
D780952317;"SEGNAFILI PA 1/3 2526.0 NUMERO ""7"" WD";;4,23;;;;
D780952318;"SEGNAFILI PA 1/3 2526.0 NUMERO ""8"" WD";;4,25;;;;
D780952319;"SEGNAFILI PA 1/3 2526.0 NUMERO ""9"" WD";;,01;;;;
D78095231E;"SEGNAFILI PA 1/3 2526.0 LETTERA ""E"" WD";;4,20;;;;
D78095231L;"SEGNAFILI PA 1/3 2526.0 LETTERA ""L"" WD";;4,20;;;;
D78095231N;"SEGNAFILI PA 1/3 2526.0 LETTERA ""N"" WD";;4,20;;;;
D78095231P;"SEGNAFILI PA 1/3 2526.0 LETTERA ""P"" WD";;4,20;;;;
D78095231U;"SEGNAFILI PA 1/3 2526.0 LETTERA ""U"" WD";;4,20;;;;
D78095231V;"SEGNAFILI PA 1/3 2526.0 LETTERA ""V"" WD";;4,25;;;;
D78095231W;"SEGNAFILI PA 1/3 2526.0 LETTERA ""W"" WD";;2,00;;;;
D780954616;SEGNAFILI PA  2/4  2513.0             WD;;2,33;;;;
D780955610;SEGNAFILI PA  3/6 12534.0             WD;;,28;;;;
D782200900;TUBETTO SEGNACAVO FLAT A FASCETTA 15 mm;;66,60;;;;
D782200901;TUBETTO COMPONENTE FLAT ADESIVO 15 mm;;191,20;;;;
D782202900;TUBETTO SEGNACAVO FLAT 15 mm SEZIONE 2,5-4 mm2;;33,00;;;;
D782203900;TUBETTO SEGNACAVO FLAT 15 mm SEZIONE 4-10 mm2;;24,00;;;;
D782206900;TUBETTO SEGNACAVO FLAT 15 mm SEZIONE 0,25-0,5 mm2;;55,80;;;;
D782207900;TUBETTO SEGNACAVO FLAT 15 mm SEZIONE 0,5-2,5 mm2;;39,20;;;;
D782208900;TUBETTO SEGNACAVO FLAT 15 mm SEZIONE 10-25 mm2;;15,80;;;;
D782209900;TUBETTO SEGNACAVO FLAT 15 mm SEZIONE 25-70 mm2;;13,75;;;;
D78220A900;TUBETTO SEGNACAVO FLAT 15 mm SEZIONE 70-240 mm2;;9,88;;;;
D7823A0900;TUBETTO PORTANUMERI   MOD.157 TEL.;;,01;;;;
D7823A0901;TUBETTO PORTANUMERI   MOD.158 SIE;;,03;;;;
D7823A1900;TUBETT.201/15 0,75-1,5MMQ*1000;;,01;;;;
D7823A1901;TUBETTO PORTANUMERI COD. SA 0118 ( 1X18 ) MODERNOTECNICA;;,01;;;;
D7823A2900;TUBETT.202/15 1,5-4MMQ*1000;;,01;;;;
D7823A2901;TUBETTO PORTANUMERI cod. SA 0218 ( 2X18 ) MODERNOTECNICA;;,01;;;;
D7823A3900;TUBETTO PORTANUMERI cod. SA 0318 ( 3x18 ) MODERNOTECNICA;;,01;;;;
D7823A4900;TUBETTO PORTANUMERI cod. SA 0418 ( 4x18 ) MODERNOTECNICA;;,01;;;;
D7823A4901;TUBETTO PORTANUMERI ADESIVO cod. SATA 18   MODERNOTECNICA;;,04;;;;
D7823A5900;TUBETTO PORTANUMERI  cod. SA 0518 ( 5x18 ) MODERNOTECNICA;;,02;;;;
D7825A4900;TUBETTO PORTANUM.X TRIK MOD.10 MODERNOT.;;,03;;;;
D782950010;SEGNAFILI PK  2/4  5245.0       WD;;8,49;;;;
D782AM0H00;TARGHETTA ADESIVA 9X25MM ART.SATA25 ADEMARK;;,00;;;;
D783950000;SEGNAFILI SUPPORTO PKH 5244.0   WD;;,11;;;;
D784200000;PORTA TARGA PULSANTE 17X30 ADESIVO 35102N;;42,46;;;;
D784200001;PLACCA DI PROTEZIONE TRASPARENTE 15X27 990521;;28,08;;;;
D789100000;PORTACARTELLINO DUCTAMARK COD.7501 BOCCHIOTTI;;,73;;;;
D7893A0000;LINGUETTA X NUMERAZ.  MOD.119 GRAFOPLAST;;3,03;;;;
D7893A0001;UNCINO PER ESTRAZIONE MOD.120 GRAFOPLAST;;1,35;;;;
D79031200450;SONDA PT 100 (DIRITTA)D. 4X 50 CAVO 1,5MT+CERTIF.TAR.GEFRAN;;15,59;;;;
D790314103A0;SONDA PT 100 CLASSE A, D.3 X 100, CON CAVO PFA DA 10M GEFRAN;;115,60;J0006000005;;;
D790314103AZ;SONDA PT 100 CLASSE A, D.3 X 500, CON CAVO PFA DA 10M GEFRAN;;118,97;J0006000005;;;
D790314103MM;SONDA PT 100 CLASSE A D.3 X 2000, CON CAVO PFA DA 10M GEFRAN;;138,50;J0006000005;;;
D7904N51031D;*SOST.DA D790314103A0 SONDA PT 100 CL.A D.3 X 100 MGO 10M;ANR;129,22;J0004000002;;;
D7904N51032M;*SOST.DA D790314103MM SONDA PT 100 CL.A D.3 X 2000 MGO 10M;ANR;128,18;J0004000002;;;
D7904N61035D;*SOST.DA D790314103AZ SONDA PT 100 CL.A D.3 X 500 MGO 10M;ANR;130,27;J0004000002;;;
D7911B0006A0;SONDA PT100 6X100 CAVO 3MT CODICE 00138 CREI;;20,51;;;;
D7911B600650;SONDA TR TIPO PT100 MOD.500 D.6X50 L-CAVI 2000 2 FILI CREI;;17,13;;;;
D7912B4006A0;TERMO RESISTENZA TM111-B5CHEX1AAB1AA1AA1 ATEX ENDRESS;;,00;J0006000005;ENDRESS + HAUSER ITALIA S.P.A.;;
D7912B410000;*SOST.DA D7912B410001 SONDA PT100 TEMPTG-YYY ENDRESS+HAUSER;ANN;108,00;;;;
D7912B410001;*SOST.DA D7912B410003 - SONDA PT100 COD.TMR35-A11AYYYY1BAA;ANN;154,00;;;;
D7912B410002;*ANNULLATO E SOSTITUITO DA D7914N1006A0;ANN;124,50;J0006000001;;;
D7912B410003;SONDA PT100 COD.TMR35-A11AYYYY9CAA ENDRESS+HAUSER C/CERTIF.;;360,00;J0001000020;;;
D79131200330;SONDA PT100 D.3X30      GEFRAN;;13,30;;;;
D79131200450;SONDA PT 100 (DIRITTA)D. 4X 50  CAVO 1,5MT GEFRAN;;17,25;;;;
D79131200540;SONDA PT100 3 FILI 5X40 TR1-A-XT380-001 000X000X00000XX;;,00;;;;
D79131200550;SONDA PT 100 (DIRITTA)D. 5X 50 GEFRAN;;18,34;;;;
D79131200650;SONDA PT100 TR1-A-XT380-006-000X000X000000XX 3 FILI F040591;;,00;;;;
D79131400635;SONDE PT100 TIPO TR5B-S-2-34G-1C-MT6 G2     GEFRAN;;25,98;;;;
D791316003Z2;SONDA PT100 TR6M-A-2-A-F-C-E-000X-000 ATEX GEFRAN;;157,27;J0006000001;;;
D79139001400;"RACCORDO DI CONNES.A BAIONETTA DA 1/4"" PER SONDA TR5B GEFRAN";;,00;;;;
D79139130630;SONDA PT100/3F IEC751 �6 L30 ITALMEC;;138,00;;;;
D79139130662;SONDE PT100 MOD.MIGNON D.6X50 PALLA ATT.CLAMP ITALMEC;;138,00;;;;
D79139200650;SONDA PT100 TIPO TR1A-S-2-8G-50-M1-1C-MT5 2 FILI GEFRAN;;24,19;;;;
D79139200651;SONDA PT100 TIPO TR1A XT025 002 CL.A 3 FILI GEFRAN;;25,10;;;;
D79139210650;SONDA 1 PT 100.500/5 LT 5000 (CAVO A 3 FILI) CREI;;15,82;;;;
D79139400640;SONDE PT 100 (DIRITTE)D. 6X 40 + GUAINA;;20,56;;;;
D79139400655;SONDE PT 100 (DIRITTE)D. 6X 55  ITALMEC;;17,25;;;;
D79139400660;SONDE PT100 TIPO TR1A-S-2-8G-50-M1-1C-MT1,5 GEFRAN(EX ITAL.);;17,93;;;;
D79139420660;SONDA DOPPIA 2 PT 100 (DIR D.6X60) CAVO MT.2;;21,17;;;;
D79139490640;SONDE PT 100 (CURVA 90?)        ITALMEC;;73,00;;;;
D79139490641;SONDE PT 100 (CURVA 90?) CON TRE FILI IN USCITA ITALMEC;;37,70;;;;
D7914N1006A0;SONDA PT100 902815/10-380-1011-2-6-50-613-24/374 JUMO;;273,50;J0006000001;;;
D7914N110650;TERMORESISTENZA PT100 6X50 CLAMP DN25A JUMO;;103,08;J0004000002;;;
D7914N200650;"SONDA TERMICA SONDA TERMICA 1/2""GAS �6X50 ATEX 903525 JUMO";;,00;J0001000020;;;
D7914N201851;SONDA PIANA PER SERBATOI N�ART.00451281 IN AISI 316L JUMO;;,00;J0001000020;;;
D7914N600340;SONDA FLESS.PT100 902250/35-415-1001-1-3-900-11-2500/317JUMO;;188,97;;;;
D79152220850;TERMORESISTENZA PT100 DOPPIA A 3+3 FILI GAMBO �8 L=50 METRON;;,00;;;;
D79178001020;SONDA 3 WIRE RTD COD.P093929207 STERIS;ANR;58,43;;;;
D79178001021;SONDA 3 WIRE RTD COD.P387354387 STERIS;ANR;150,45;;;;
D79197110250;SONDA PT100 OHM ART.MRMEA0T0020AA010 WATLOW ITALY SRL;;52,68;;;;
D79197110680;SONDA PT100 OHM ART.RNGA0TMBB020 WATLOW ITALY SRL;;23,24;;;;
D7921B200401;TERMOCOP. J MOD.516 MGO CREI;;25,93;;;;
D7921B300822;TERMOC.03215 TC TIPO J MOD.517 ISOLATA-CAPICORDA 4MT CREI;;14,78;;;;
D79231000571;*SOST.DA D79231000572 TERMOC.TC1-B-1-J-5-A-H-A-1 5X70 GEFRAN;ANN;160,30;;;;
D79231000572;TERMOC.TC1-B-1-J-5-A-H-A-1 5X70 ATT.1/8G CAVO 2M GEFRAN;;157,76;J0004000002;;;
D792312006A0;TERMOCOPPIA TC1-A-2-J-5-A-I D.6X100 LUNGHEZ.CAVO: 1.5 MT.;;16,66;;;;
D79231300330;TERMOCOPPIA KMGO D3X30 BIC.D4X30                ex T.1114205;;,00;;;;
D79231600318;TERMOCOPPIA 3X180?+CERTIF.TARAT.SU 100?-300?-500?-550?GEFRAN;;31,83;;;;
D79231600360;TERMOCOPPIA TC1MB2-K-5-F-E-A-1-OKD 3X60 GEFRAN  ex T.1114210;;34,24;;;;
D79231910350;TERMOCOPPIA TIPO K D.3X60 TC1MB-2-K-5-F-E-A-1 CENTIGRADO;;,00;;;;
D79231B00570;TERMOC.TC1-B-S-I-J-7G-70-M1-1C-2-J-G1 5X70 ATT.1/8GAS GEFRAN;;,00;;;;
D79231B00571;TERMOC.TC1-B-1-J-5-A-H-A-1 5X70 ATT.1/8GAS GEFRANexT.1114110;;29,52;;;;
D79239400655;TERMOCOPPIA D.6X60 CAVO MT.4 CREI;;22,43;;;;
D79239400950;TERMOCOPPIA D.9X50 CAVO MT.4 CREI;;8,61;;;;
D792535010M0;TERMOCOPPIA FE-COST TCN2753 CAVO 2MT MASTERWAT;;17,20;;;;
D7925R6001C0;TERMOCOPPIA D.1X120 316SS CAVO 2MT E52-ETJ1-120-2-P-A;;,00;;;E52-ETJ1-120-2-P-A;E52-ETJ1-120-2-P-A
D79280800515;TERMOCOPPIA J 600 D.5 X 15 CAVO 0,1 MT CON GIUNTO ISOLATO;;7,00;;;;
D79280D00515;TERMOCOPPIA K D.5 X 15 CAVO 0,1 MT CON GIUNTO ISOLATO;;8,32;;;;
D7932R000000;CONTROLLO TEMP.OTTICO SNAKE EYE 3 LTE-LS EXERGEN;;480,30;;;;
D7942B100020;SONDA A TRE ASTE COD.11363-9Y9A111EA ENDRESS+HAUSER;;628,20;;;;
D79457C007Z1;SONDA LIVEL.IG.GAS3/4 ASTA 500MM 1052070 LFP0500-G1NMB SICK;ANR;,00;J0006000001;;;
D795511013F0;SONDA TERMOIGROMETRICA INOX MOD.SHDI-150 KIMO;;218,63;J0004000003;;;
D79577AA90A0;SONDA AMBIENTALE QFA2060 SIEMENS;;182,00;;;;
D7A00000000;FAMIGLIA GR. ACCESSORI D7;;,00;;;;
D7A60000000;RAGGR.PIATTAFORME E SCALE;;,00;;;;
D7A60100000;FAM.PIATTAFORME;;,00;;;;
D7A60100110;GR.IMPAL COP.APRIBILE+CELLE;;61,60;;;;
D7A60100111;STGR.PIATTAFORMA;;,00;;;;
D7A60100112;STGR.FISS.POMPA DI RICIRCOLO;;61,60;;;;
D7E01000010;M.E.TURBO-MIX 1000;;197,74;;;;
D7E01000020;M.EL. SIMATIC 1200;;,00;;;;
D7E01000030;M.EL. INVERTER 3KW;;,00;;;;
D7E01000040;M.EL. RELE TERMISTORE ATEX;;,00;;;;
D7E01000050;M.E. QUADRO T.FIX SPECIALE;;155,88;;;;
D7G00000000;FAMIGLIA GR. ALIMENTAZIONE D7;;,00;;;;
D7G01000000;RAGGR.RECIPIENTI D7;;,00;;;;
D7G01300000;FAM.RECIPIENTI RESISTENZE;;,00;;;;
D7G01300110;GR.TURBO-MIX 1000;;124,52;;;;
D7G01300111;STGR.RECIPIENTE;;124,52;;;;
D7G01300210;GR.MELTER TRAMOGGIA 400;;1 166,82;;;;
D7G01300211;STGR.RECIPIENTE INCAM.;;844,75;;;;
D7G01300212;STGR.TELAIO;;322,07;;;;
D7G0130021C;LISTA CORREDO GRUPPO;;,00;;;;
D7G0130021R;LISTA RICAMBI CONSIGLIATI;;,00;;;;
D7G01400000;FAM.RECIPIENTI VAPORE;;,00;;;;
D7G01400110;GR.REC.1000L SOPPALCO ATEX;;903,05;;;;
D7G01400111;STGR.RECIPIENTE;;903,05;;;;
D7G98000000;RAGGR.ALLEST.ALIM.PRODOTTO;;,00;;;;
D7G98100000;FAM.PIPING IMPIANTO;;,00;;;;
D7G98100110;GR.PIPING E VALVOLE IMP.GEL;;948,76;;;;
D7G98100111;STGR.TUBO DISCESA;;139,32;;;;
D7G98100112;"STGR.INGRESSO 2""TL";;389,20;;;;
D7G98100113;STGR.USCITA PRODOTTO;;86,13;;;;
D7G98100115;STGR.INGR.PRODOTTO SECONDARIO;;174,82;;;;
D7G98100210;GR.VALVOLE MAN POMPA LAVAGGIO;;70,23;;;;
D7G98100211;STGR. RACCORDI E VALVOLE;;70,23;;;;
D7G9810021C;LISTA CORREDO GRUPPO;;,00;;;;
D7G9810021R;LISTA RICAMBI CONSIGLIATI;;,00;;;;
D7G98100310;GR.PIPING PER TUBI RISC E POMP;;48,50;;;;
D7G98100311;STGR.COLLEGAMENTI IDRICI;;48,50;;;;
D7G98100410;GR.PIPING RICIRC. TM1000 F.CON;;566,31;;;;
D7G98100411;STGR.PIPING TRATTO INCLINATO;;104,16;;;;
D7G98100412;STGR.PIPING TRATTO INCLINATO;;65,70;;;;
D7G98100413;"STGR.RIDUZIONE 2"" - 1/2"" GAS";;130,95;;;;
D7G98100510;GR.PIPING RICIRC. TM300 F.CON;;612,87;;;;
D7G98100511;STGR.PIPING TRATTO INCLINATO;;150,72;;;;
D7G98100512;STGR.PIPING TRATTO VERTICALE;;65,70;;;;
D7G98100610;GR.PIPING RICIRC.T.FIX.2000;;239,67;;;;
D7G98100611;"STGR.PIPING VERTICALE 2""";;137,70;;;;
D7G98100612;"STGR.PIPING 2""1/2";;101,97;;;;
D7M00000000;FAM.GR.MECCANICI D7;;,00;;;;
D7M10000000;RAGGR.BASAMENTI D7;;,00;;;;
D7M10100000;FAM.BASAMENTI D7;;,00;;;;
D7M10100110;GR.BASAMENTO TM1000 SOPP.CELLE;;841,75;;;;
D7M10100112;STGR.MENSOLA;;420,14;;;;
D7M10100113;STGR.COLONNA DX;;210,80;;;;
D7M10100114;STGR.COLONNA SX;;210,80;;;;
D7M10100210;GR.BASAM.M500 + SOLL.PER COP+;;672,31;;;;
D7M10100211;STGR.BASAMENTO;;527,48;;;;
D7M10100212;STGR.CARTER+CENTRAGGIO REC.;;122,06;;;;
D7M10100213;STGR.FINECORSA;;22,77;;;;
D7M10100310;CODICE LIBERO;;,00;;;;
D7M10100311;CODICE LIBERO;;,00;;;;
D7M10100410;CODICE LIBERO;;,00;;;;
D7M10100411;CODICE LIBERO;;,00;;;;
D7M10100510;GR.BASAMENTO D7230001;;688,98;;;;
D7M10100511;STGR.PRINCIPALE;;688,98;;;;
D7M91000000;RAGGR.IMPIANTI OLEODINAMICI D7;;,00;;;;
D7M91100000;FAM.IMPIANTI OLEODINAMICI D7;;,00;;;;
D7M91100110;GR.IMP.OLEODIN.TM1000 PIATTAF.;;,36;;;;
D7M91100111;STGR.IM.OLEOD.DT600/1000 EST.;;,36;;;;
D8000000000;ELENCO MACC.BASE D8;;,00;;;;
D8010100010;MAC.BASE TL 132;;308,63;;;;
D8010105010;MAC.BASE TIL 132 ATEX;;1 113,56;;;;
